"text","intent","category","confidence"
"Xem đẹp 279","unknown","không_xác_định","1.0"
"Help! gãy xương hở","emergency","cấp_cứu","1.0"
"Xem hay 446","unknown","không_xác_định","1.0"
"Tác dụng của thuốc paracetamol","drug_question","thuốc","1.0"
"Cho tôi hỏi về thuốc amoxicillin","drug_question","thuốc","1.0"
"Mẹ tôi bị mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Bị đau đầu phải làm sao?","symptom_inquiry","triệu_chứng","1.0"
"Thuốc aspirin có độc hại không","side_effects","tác_dụng_phụ","1.0"
"Cách ăn uống để tăng cân?","general_health","sức_khỏe_tổng_quát","1.0"
"Thuốc amoxicillin có hiệu quả không","drug_question","thuốc","1.0"
"Hello","greeting","chào_hỏi","1.0"
"Mua thuốc aspirin ở đâu","drug_question","thuốc","1.0"
"Uống aspirin có ảnh hưởng gì","side_effects","tác_dụng_phụ","1.0"
"ho là bệnh gì?","symptom_inquiry","triệu_chứng","1.0"
"Người bệnh suy tim độ 3 có thể phẫu thuật thay khớp háng được không?","emergency","emergency","1.0"
"Tôi thấy sốt","symptom_inquiry","triệu_chứng","1.0"
"Thông tin về amoxicillin","drug_question","thuốc","1.0"
"Help! khó thở nghiêm trọng","emergency","cấp_cứu","1.0"
"Tình trạng nguy kịch: gãy xương hở","emergency","cấp_cứu","1.0"
"SOS! Người phụ nữ 45 tuổi bị va chạm xe máy gãy cẳng chân hở","emergency","emergency","1.0"
"Thuốc ibuprofen uống trước hay sau ăn","dosage_question","liều_lượng","1.0"
"Ăn tốt 960","unknown","không_xác_định","1.0"
"Cần uống thuốc ibuprofen bao lâu","drug_question","thuốc","1.0"
"Lời khuyên sức khỏe","general_health","sức_khỏe_tổng_quát","1.0"
"Gấp! tim ngừng đập","emergency","cấp_cứu","1.0"
"Có ai ở đó không?","greeting","chào_hỏi","1.0"
"Tôi bị sốt","symptom_inquiry","triệu_chứng","1.0"
"Mẹ tôi bị sốt","symptom_inquiry","triệu_chứng","1.0"
"Sau khi uống amoxicillin bị chóng mặt","side_effects","tác_dụng_phụ","1.0"
"Chị ấy bị sốt","symptom_inquiry","triệu_chứng","1.0"
"Cách chăm sóc sức khỏe","general_health","sức_khỏe_tổng_quát","1.0"
"Ngủ nghỉ đủ giấc","general_health","sức_khỏe_tổng_quát","1.0"
"Phẫu thuật thay khớp háng có nguy hiểm không?","medical_procedure","medical_procedure","1.0"
"Cho tôi hỏi","greeting","chào_hỏi","1.0"
"Tác dụng không mong muốn của ibuprofen là gì?","side_effects","tác_dụng_phụ","1.0"
"Trẻ em uống ibuprofen thế nào?","dosage_question","liều_lượng","1.0"
"Tình trạng nguy kịch: tim ngừng đập","emergency","cấp_cứu","1.0"
"Uống thuốc paracetamol như thế nào","dosage_question","liều_lượng","1.0"
"*Liều lượng* gia vị cho món súp","unknown","không_xác_định","1.0"
"Cách sử dụng thuốc paracetamol","drug_question","thuốc","1.0"
"Giá thuốc ibuprofen bao nhiêu","drug_question","thuốc","1.0"
"Có dấu hiệu ho","symptom_inquiry","triệu_chứng","1.0"
"Có nên ngừng uống paracetamol không vì bị đau đầu","side_effects","tác_dụng_phụ","1.0"
"Thuốc aspirin chữa bệnh gì","drug_question","thuốc","1.0"
"Thuốc amoxicillin có an toàn không","drug_question","thuốc","1.0"
"Cách dùng thuốc paracetamol","dosage_question","liều_lượng","1.0"
"Làm sao để giảm cân?","general_health","sức_khỏe_tổng_quát","1.0"
"Con tôi bị đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Chào buổi chiều","greeting","chào_hỏi","1.0"
"Thuốc ibuprofen có gây buồn nôn không","side_effects","tác_dụng_phụ","1.0"
"Xin chào","greeting","chào_hỏi","1.0"
"Có triệu chứng ho","symptom_inquiry","triệu_chứng","1.0"
"Liều dùng của paracetamol","dosage_question","liều_lượng","1.0"
"Tôi bị mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Liều lượng thuốc ibuprofen","drug_question","thuốc","1.0"
"ibuprofen là thuốc gì","drug_question","thuốc","1.0"
"Phim tốt 380","unknown","không_xác_định","1.0"
"Khẩn cấp! Bé trai 2 tuổi nuốt phải pin cúc áo và khóc thét","emergency","emergency","1.0"
"Sau khi uống amoxicillin bị đau đầu","side_effects","tác_dụng_phụ","1.0"
"Lối sống lành mạnh","general_health","sức_khỏe_tổng_quát","1.0"
"Em bé bị đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Thuốc aspirin có tác dụng gì","drug_question","thuốc","1.0"
"aspirin uống như thế nào?","drug_question","thuốc","1.0"
"Thông tin về ibuprofen","drug_question","thuốc","1.0"
"Chế độ ăn uống lành mạnh","general_health","sức_khỏe_tổng_quát","1.0"
"SOS! khó thở nghiêm trọng","emergency","cấp_cứu","1.0"
"Cần cấp cứu ngay vì khó thở nghiêm trọng","emergency","cấp_cứu","1.0"
"Tôi có thể hỏi bác sĩ không","greeting","chào_hỏi","1.0"
"Hướng dẫn sử dụng aspirin","dosage_question","liều_lượng","1.0"
"Tác hại của thuốc aspirin","side_effects","tác_dụng_phụ","1.0"
"Thuốc paracetamol dùng để làm gì","drug_question","thuốc","1.0"
"Thuốc aspirin dùng để làm gì","drug_question","thuốc","1.0"
"Uống thuốc ibuprofen như thế nào","dosage_question","liều_lượng","1.0"
"Thuốc paracetamol có tác dụng gì","drug_question","thuốc","1.0"
"Gặp phải tình trạng sốt","symptom_inquiry","triệu_chứng","1.0"
"Liều khởi đầu của aspirin","dosage_question","liều_lượng","1.0"
"Đang bị đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Mấy ngày nay mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Uống ibuprofen có bị đau đầu không?","side_effects","tác_dụng_phụ","1.0"
"Thuốc aspirin uống mấy lần một ngày","dosage_question","liều_lượng","1.0"
"ibuprofen có tác dụng phụ gì không","drug_question","thuốc","1.0"
"Cảm thấy đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Cách sử dụng aspirin đúng","dosage_question","liều_lượng","1.0"
"Adalimumab có nguy cơ gây nhiễm trùng cơ hội nào?","side_effects","side_effects","1.0"
"SOS! đau ngực dữ dội","emergency","cấp_cứu","1.0"
"Làm sao để chữa ho?","symptom_inquiry","triệu_chứng","1.0"
"Anh ấy bị mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Uống amoxicillin bao nhiêu mg một ngày?","dosage_question","liều_lượng","1.0"
"Uống aspirin có bị mệt mỏi không?","side_effects","tác_dụng_phụ","1.0"
"Anh ấy bị sốt","symptom_inquiry","triệu_chứng","1.0"
"Cảm thấy mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Giảm căng thẳng","general_health","sức_khỏe_tổng_quát","1.0"
"Thuốc amoxicillin uống trước hay sau ăn","dosage_question","liều_lượng","1.0"
"Xem tốt 997","unknown","không_xác_định","1.0"
"Ông ấy bị sốt","symptom_inquiry","triệu_chứng","1.0"
"Uống thuốc amoxicillin như thế nào","dosage_question","liều_lượng","1.0"
"Ăn tốt 496","unknown","không_xác_định","1.0"
"Tác dụng phụ của amoxicillin","side_effects","tác_dụng_phụ","1.0"
"Thuốc aspirin uống bao nhiêu viên","dosage_question","liều_lượng","1.0"
"Tác dụng của thuốc ibuprofen","drug_question","thuốc","1.0"
"Thuốc aspirin có hại gì không","side_effects","tác_dụng_phụ","1.0"
"Bị đau bụng phải làm sao?","symptom_inquiry","triệu_chứng","1.0"
"Cần cấp cứu ngay vì sốc phản vệ","emergency","cấp_cứu","1.0"
"Có nên ngừng uống ibuprofen không vì bị đau đầu","side_effects","tác_dụng_phụ","1.0"
"paracetamol uống như thế nào?","drug_question","thuốc","1.0"
"đau đầu là bệnh gì?","symptom_inquiry","triệu_chứng","1.0"
"Finasteride có thể gây rối loạn chức năng sinh dục nam không?","side_effects","side_effects","1.0"
"Em bé bị mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Uống ibuprofen xong bị mệt mỏi","side_effects","tác_dụng_phụ","1.0"
"Liều tối đa của aspirin","dosage_question","liều_lượng","1.0"
"Bị ho phải làm sao?","symptom_inquiry","triệu_chứng","1.0"
"Tôi thấy đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Có nên ngừng uống amoxicillin không vì bị mệt mỏi","side_effects","tác_dụng_phụ","1.0"
"Uống amoxicillin có bị chóng mặt không?","side_effects","tác_dụng_phụ","1.0"
"Làm sao để chữa mệt mỏi?","symptom_inquiry","triệu_chứng","1.0"
"aspirin có tác dụng phụ gì không","drug_question","thuốc","1.0"
"Uống amoxicillin có ảnh hưởng gì","side_effects","tác_dụng_phụ","1.0"
"Nhạc đẹp 260","unknown","không_xác_định","1.0"
"Thuốc paracetamol chữa bệnh gì","drug_question","thuốc","1.0"
"sốt là bệnh gì?","symptom_inquiry","triệu_chứng","1.0"
"Cách sử dụng ibuprofen đúng","dosage_question","liều_lượng","1.0"
"Thuốc paracetamol có hiệu quả không","drug_question","thuốc","1.0"
"Tình huống khẩn cấp: mất ý thức","emergency","cấp_cứu","1.0"
"Chị ấy bị đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Nhạc đẹp 435","unknown","không_xác_định","1.0"
"Thông tin về aspirin","drug_question","thuốc","1.0"
"Sau khi uống aspirin bị mệt mỏi","side_effects","tác_dụng_phụ","1.0"
"Cần bác sĩ gấp: đột quỵ","emergency","cấp_cứu","1.0"
"Hướng dẫn sử dụng ibuprofen","dosage_question","liều_lượng","1.0"
"Cách sử dụng thuốc ibuprofen","drug_question","thuốc","1.0"
"Tác dụng không mong muốn của amoxicillin là gì?","side_effects","tác_dụng_phụ","1.0"
"Uống aspirin bao nhiêu mg một ngày?","dosage_question","liều_lượng","1.0"
"Làm sao để chữa đau bụng?","symptom_inquiry","triệu_chứng","1.0"
"Xuất hiện triệu chứng đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Khẩn cấp: mất ý thức","emergency","cấp_cứu","1.0"
"Thuốc aspirin có gây chóng mặt không","side_effects","tác_dụng_phụ","1.0"
"Thuốc ibuprofen dùng để làm gì","drug_question","thuốc","1.0"
"Con tôi bị đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Tuần này ho","symptom_inquiry","triệu_chứng","1.0"
"Hi bác sĩ","greeting","chào_hỏi","1.0"
"Thuốc amoxicillin uống bao nhiêu viên","dosage_question","liều_lượng","1.0"
"Mua thuốc ibuprofen ở đâu","drug_question","thuốc","1.0"
"Ăn hay 411","unknown","không_xác_định","1.0"
"Đang bị mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Cần cấp cứu ngay! Ông già bị ngạt khói trong đám cháy","emergency","emergency","1.0"
"Anh ấy bị ho","symptom_inquiry","triệu_chứng","1.0"
"Tác hại của thuốc amoxicillin","side_effects","tác_dụng_phụ","1.0"
"Xem tốt 437","unknown","không_xác_định","1.0"
"Help! co giật","emergency","cấp_cứu","1.0"
"amoxicillin có tác dụng phụ gì không","drug_question","thuốc","1.0"
"Cho tôi hỏi về thuốc ibuprofen","drug_question","thuốc","1.0"
"Cần bác sĩ gấp: gãy xương hở","emergency","cấp_cứu","1.0"
"Sau khi uống aspirin bị buồn nôn","side_effects","tác_dụng_phụ","1.0"
"Đi đẹp 420","unknown","không_xác_định","1.0"
"Phim tốt 153","unknown","không_xác_định","1.0"
"Cần uống thuốc aspirin bao lâu","drug_question","thuốc","1.0"
"Help! ngộ độc nghiêm trọng","emergency","cấp_cứu","1.0"
"Tôi bị đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Mấy ngày nay đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Tác dụng của thuốc amoxicillin","drug_question","thuốc","1.0"
"Cần cấp cứu ngay vì tim ngừng đập","emergency","cấp_cứu","1.0"
"Thuốc ibuprofen có an toàn không","drug_question","thuốc","1.0"
"Ông ấy bị đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Thuốc ibuprofen có hại gì không","side_effects","tác_dụng_phụ","1.0"
"Cho tôi hỏi về thuốc paracetamol","drug_question","thuốc","1.0"
"Chào bác sĩ","greeting","chào_hỏi","1.0"
"Mua thuốc paracetamol ở đâu","drug_question","thuốc","1.0"
"Ăn kiêng keto có tốt không?","diet_lifestyle","diet_lifestyle","1.0"
"Thuốc aspirin làm tôi đau đầu","side_effects","tác_dụng_phụ","1.0"
"Gặp phải tình trạng mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Uống paracetamol xong bị buồn nôn","side_effects","tác_dụng_phụ","1.0"
"Tôi bị ho","symptom_inquiry","triệu_chứng","1.0"
"Xem vui 872","unknown","không_xác_định","1.0"
"Phim đẹp 395","unknown","không_xác_định","1.0"
"Đi ngon 256","unknown","không_xác_định","1.0"
"Gặp phải tình trạng đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Báo động đỏ: khó thở nghiêm trọng","emergency","cấp_cứu","1.0"
"Con tôi bị sốt","symptom_inquiry","triệu_chứng","1.0"
"Thuốc amoxicillin có độc hại không","side_effects","tác_dụng_phụ","1.0"
"SOS! gãy xương hở","emergency","cấp_cứu","1.0"
"Bà ngoại bị ho","symptom_inquiry","triệu_chứng","1.0"
"Uống amoxicillin xong bị mệt mỏi","side_effects","tác_dụng_phụ","1.0"
"Hội chứng Stevens-Johnson do carbamazepine có nguy hiểm không?","emergency","emergency","1.0"
"Có thể uống cùng lúc lansoprazole và clopidogrel không?","drug_interaction","drug_interaction","1.0"
"Bạn có thể giúp tôi không?","greeting","chào_hỏi","1.0"
"Thuốc aspirin gây ra triệu chứng gì","side_effects","tác_dụng_phụ","1.0"
"Phòng ngừa bệnh tật","general_health","sức_khỏe_tổng_quát","1.0"
"Chào buổi sáng","greeting","chào_hỏi","1.0"
"Mấy ngày nay đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Trẻ em uống aspirin thế nào?","dosage_question","liều_lượng","1.0"
"Sau khi uống ibuprofen bị đau đầu","side_effects","tác_dụng_phụ","1.0"
"Thuốc aspirin uống lúc nào","dosage_question","liều_lượng","1.0"
"Tôi thấy đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Cách dùng thuốc amoxicillin","dosage_question","liều_lượng","1.0"
"Uống amoxicillin có bị buồn nôn không?","side_effects","tác_dụng_phụ","1.0"
"Phim hay 137","unknown","không_xác_định","1.0"
"Đi ngon 752","unknown","không_xác_định","1.0"
"SOS! mất ý thức","emergency","cấp_cứu","1.0"
"Tác dụng phụ của ibuprofen","side_effects","tác_dụng_phụ","1.0"
"Cấp cứu! co giật","emergency","cấp_cứu","1.0"
"Thuốc amoxicillin gây ra triệu chứng gì","side_effects","tác_dụng_phụ","1.0"
"Thuốc ibuprofen có tác dụng gì","drug_question","thuốc","1.0"
"Có nên ngừng uống aspirin không vì bị buồn nôn","side_effects","tác_dụng_phụ","1.0"
"Nhạc tốt 453","unknown","không_xác_định","1.0"
"Liều khởi đầu của paracetamol","dosage_question","liều_lượng","1.0"
"amoxicillin uống như thế nào?","drug_question","thuốc","1.0"
"Phim ngon 967","unknown","không_xác_định","1.0"
"Chào buổi tối","greeting","chào_hỏi","1.0"
"Probiotics nào tốt nhất cho hội chứng ruột kích thích?","diet_lifestyle","diet_lifestyle","1.0"
"Xuất hiện triệu chứng ho","symptom_inquiry","triệu_chứng","1.0"
"Phim ngon 843","unknown","không_xác_định","1.0"
"Cấp cứu! đau ngực dữ dội","emergency","cấp_cứu","1.0"
"Ăn ngon 805","unknown","không_xác_định","1.0"
"Kỹ thuật ECMO có chỉ định trong suy hô hấp nặng COVID-19?","medical_procedure","medical_procedure","1.0"
"Báo động đỏ: mất ý thức","emergency","cấp_cứu","1.0"
"Nhạc đẹp 456","unknown","không_xác_định","1.0"
"Gặp phải tình trạng đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Thuốc amoxicillin có tác dụng phụ gì","side_effects","tác_dụng_phụ","1.0"
"Đi tốt 829","unknown","không_xác_định","1.0"
"Thuốc aspirin làm tôi buồn nôn","side_effects","tác_dụng_phụ","1.0"
"Tác dụng phụ của paracetamol","side_effects","tác_dụng_phụ","1.0"
"123456","unknown","không_xác_định","1.0"
"Đi hay 177","unknown","không_xác_định","1.0"
"Gấp! co giật","emergency","cấp_cứu","1.0"
"Tôi thấy ho","symptom_inquiry","triệu_chứng","1.0"
"Thuốc aspirin có an toàn không","drug_question","thuốc","1.0"
"Cần uống thuốc paracetamol bao lâu","drug_question","thuốc","1.0"
"Thuốc paracetamol có gây chóng mặt không","side_effects","tác_dụng_phụ","1.0"
"Thuốc paracetamol làm tôi mệt mỏi","side_effects","tác_dụng_phụ","1.0"
"Thuốc ibuprofen uống mấy lần một ngày","dosage_question","liều_lượng","1.0"
"Bị sốt phải làm sao?","symptom_inquiry","triệu_chứng","1.0"
"Tác hại của thuốc paracetamol","side_effects","tác_dụng_phụ","1.0"
"Nhạc hay 638","unknown","không_xác_định","1.0"
"Ăn vui 852","unknown","không_xác_định","1.0"
"Tôi bị đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Phim hay 258","unknown","không_xác_định","1.0"
"Tập thể dục như thế nào","general_health","sức_khỏe_tổng_quát","1.0"
"Có nên ngừng uống paracetamol không vì bị buồn nôn","side_effects","tác_dụng_phụ","1.0"
"Thuốc ibuprofen uống bao nhiêu viên","dosage_question","liều_lượng","1.0"
"Tác dụng của thuốc aspirin","drug_question","thuốc","1.0"
"Thuốc amoxicillin dùng để làm gì","drug_question","thuốc","1.0"
"Cách sử dụng thuốc aspirin","drug_question","thuốc","1.0"
"Nhạc đẹp 386","unknown","không_xác_định","1.0"
"Liều dùng của ibuprofen","dosage_question","liều_lượng","1.0"
"Từ hôm qua sốt","symptom_inquiry","triệu_chứng","1.0"
"Sau khi uống ibuprofen bị chóng mặt","side_effects","tác_dụng_phụ","1.0"
"Thuốc ibuprofen làm tôi mệt mỏi","side_effects","tác_dụng_phụ","1.0"
"A và B có kỵ nhau không?","drug_interaction","drug_interaction","1.0"
"Ăn hay 249","unknown","không_xác_định","1.0"
"Khẩn cấp: sốt cao trên 40 độ","emergency","cấp_cứu","1.0"
"Thuốc rosuvastatin có tương tác với thuốc tim digitalis?","drug_interaction","drug_interaction","1.0"
"Uống aspirin có bị đau đầu không?","side_effects","tác_dụng_phụ","1.0"
"Anh ấy bị đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Tình trạng nguy kịch: co giật","emergency","cấp_cứu","1.0"
"Thuốc amoxicillin uống mấy lần một ngày","dosage_question","liều_lượng","1.0"
"Gấp! chảy máu nhiều","emergency","cấp_cứu","1.0"
"Cần bác sĩ gấp: sốt cao trên 40 độ","emergency","cấp_cứu","1.0"
"Có nên ngừng uống ibuprofen không vì bị chóng mặt","side_effects","tác_dụng_phụ","1.0"
"Hướng dẫn sử dụng paracetamol","dosage_question","liều_lượng","1.0"
"Phim hay 810","unknown","không_xác_định","1.0"
"Nhạc ngon 168","unknown","không_xác_định","1.0"
"Thuốc amoxicillin có hại gì không","side_effects","tác_dụng_phụ","1.0"
"Uống aspirin xong bị đau đầu","side_effects","tác_dụng_phụ","1.0"
"Thuốc ibuprofen chữa bệnh gì","drug_question","thuốc","1.0"
"Cấp cứu! ngộ độc nghiêm trọng","emergency","cấp_cứu","1.0"
"Thuốc ibuprofen có hiệu quả không","drug_question","thuốc","1.0"
"ibuprofen uống như thế nào?","drug_question","thuốc","1.0"
"Cảm thấy ho","symptom_inquiry","triệu_chứng","1.0"
"Ăn hay 698","unknown","không_xác_định","1.0"
"Trẻ sơ sinh 3 ngày tuổi vàng da mức bilirubin 18mg/dL cần can thiệp gì?","emergency","emergency","1.0"
"Cần bác sĩ gấp: co giật","emergency","cấp_cứu","1.0"
"Uống amoxicillin xong bị buồn nôn","side_effects","tác_dụng_phụ","1.0"
"Anh ấy bị đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Nhạc tốt 509","unknown","không_xác_định","1.0"
"Trẻ em uống paracetamol thế nào?","dosage_question","liều_lượng","1.0"
"Thuốc ibuprofen có tác dụng phụ gì","side_effects","tác_dụng_phụ","1.0"
"Bà ngoại bị đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Tình trạng nguy kịch: đau ngực dữ dội","emergency","cấp_cứu","1.0"
"Bác sĩ có rảnh không","greeting","chào_hỏi","1.0"
"Đang bị ho","symptom_inquiry","triệu_chứng","1.0"
"Nhạc vui 195","unknown","không_xác_định","1.0"
"Thuốc ibuprofen uống lúc nào","dosage_question","liều_lượng","1.0"
"Tuần này đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Cảm thấy sốt","symptom_inquiry","triệu_chứng","1.0"
"Hi doctor","greeting","chào_hỏi","1.0"
"Mấy ngày nay sốt","symptom_inquiry","triệu_chứng","1.0"
"Em bé bị sốt","symptom_inquiry","triệu_chứng","1.0"
"Tình trạng nguy kịch: ngộ độc nghiêm trọng","emergency","cấp_cứu","1.0"
"Xem tốt 170","unknown","không_xác_định","1.0"
"Cách dùng thuốc aspirin","dosage_question","liều_lượng","1.0"
"Phim vui 902","unknown","không_xác_định","1.0"
"Tình trạng nguy kịch: sốc phản vệ","emergency","cấp_cứu","1.0"
"Bị mệt mỏi phải làm sao?","symptom_inquiry","triệu_chứng","1.0"
"Đi hay 920","unknown","không_xác_định","1.0"
"Thuốc aspirin có tác dụng phụ gì","side_effects","tác_dụng_phụ","1.0"
"Từ hôm qua đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Thuốc ibuprofen có gây đau đầu không","side_effects","tác_dụng_phụ","1.0"
"Xem tốt 669","unknown","không_xác_định","1.0"
"Mẹ tôi bị đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Phim đẹp 594","unknown","không_xác_định","1.0"
"Thuốc ibuprofen có gây chóng mặt không","side_effects","tác_dụng_phụ","1.0"
"Uống paracetamol có ảnh hưởng gì","side_effects","tác_dụng_phụ","1.0"
"Giá thuốc amoxicillin bao nhiêu","drug_question","thuốc","1.0"
"Có nên ngừng uống aspirin không vì bị đau đầu","side_effects","tác_dụng_phụ","1.0"
"Cho tôi hỏi về thuốc aspirin","drug_question","thuốc","1.0"
"Cần cấp cứu ngay vì đau ngực dữ dội","emergency","cấp_cứu","1.0"
"Xem ngon 280","unknown","không_xác_định","1.0"
"Hello doctor","greeting","chào_hỏi","1.0"
"Nhạc hay 696","unknown","không_xác_định","1.0"
"Báo động đỏ: sốt cao trên 40 độ","emergency","cấp_cứu","1.0"
"Uống paracetamol có bị buồn nôn không?","side_effects","tác_dụng_phụ","1.0"
