text,entities
"""Ông ấy 12 tháng tuổi bị cao huyết áp cần cần điều trị ngay""","""[{""text"": ""12 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 20}, {""text"": ""cao huyết áp"", ""label"": ""DISEASE"", ""start"": 24, ""end"": 36}, {""text"": ""cần điều trị ngay"", ""label"": ""URGENCY"", ""start"": 41, ""end"": 58}]"""
"""Sử dụng paracetamol 500mg khi đói""","""[{""text"": ""paracetamol"", ""label"": ""MEDICATION"", ""start"": 8, ""end"": 19}, {""text"": ""500mg"", ""label"": ""DOSAGE"", ""start"": 20, ""end"": 25}, {""text"": ""khi đói"", ""label"": ""TIMING"", ""start"": 26, ""end"": 33}]"""
"""Thuốc losartan 2 ống liên tục sau khi ăn""","""[{""text"": ""losartan"", ""label"": ""MEDICATION"", ""start"": 6, ""end"": 14}, {""text"": ""2 ống"", ""label"": ""DOSAGE"", ""start"": 15, ""end"": 20}, {""text"": ""liên tục"", ""label"": ""FREQUENCY"", ""start"": 21, ""end"": 29}, {""text"": ""sau khi ăn"", ""label"": ""TIMING"", ""start"": 30, ""end"": 40}]"""
"""ho có đờm kèm theo ho khan từ từ sáng""","""[{""text"": ""ho có đờm"", ""label"": ""SYMPTOM"", ""start"": 0, ""end"": 9}, {""text"": ""ho có đờm"", ""label"": ""SYMPTOM"", ""start"": 0, ""end"": 9}, {""text"": ""ho khan"", ""label"": ""SYMPTOM"", ""start"": 19, ""end"": 26}, {""text"": ""ho khan"", ""label"": ""SYMPTOM"", ""start"": 19, ""end"": 26}, {""text"": ""từ sáng"", ""label"": ""DURATION"", ""start"": 30, ""end"": 37}]"""
"""Tôi 28 tuổi bị mất ngủ""","""[{""text"": ""28 tuổi"", ""label"": ""AGE"", ""start"": 4, ""end"": 11}, {""text"": ""mất ngủ"", ""label"": ""SYMPTOM"", ""start"": 15, ""end"": 22}]"""
"""Cô ấy 42 tháng tuổi bị viêm phổi nhẹ""","""[{""text"": ""42 tháng tuổi"", ""label"": ""AGE"", ""start"": 6, ""end"": 19}, {""text"": ""viêm phổi"", ""label"": ""DISEASE"", ""start"": 23, ""end"": 32}, {""text"": ""nhẹ"", ""label"": ""SEVERITY"", ""start"": 33, ""end"": 36}]"""
"""đau răng kèm theo tiêu chảy từ từ 2 ngày nay""","""[{""text"": ""đau răng"", ""label"": ""SYMPTOM"", ""start"": 0, ""end"": 8}, {""text"": ""đau răng"", ""label"": ""SYMPTOM"", ""start"": 0, ""end"": 8}, {""text"": ""tiêu chảy"", ""label"": ""SYMPTOM"", ""start"": 18, ""end"": 27}, {""text"": ""tiêu chảy"", ""label"": ""SYMPTOM"", ""start"": 18, ""end"": 27}, {""text"": ""từ 2 ngày nay"", ""label"": ""DURATION"", ""start"": 31, ""end"": 44}]"""
"""Bệnh nhân 10 năm tuổi bị tăng huyết áp cần dùng paracetamol""","""[{""text"": ""10 năm tuổi"", ""label"": ""AGE"", ""start"": 10, ""end"": 21}, {""text"": ""tăng huyết áp"", ""label"": ""DISEASE"", ""start"": 25, ""end"": 38}, {""text"": ""paracetamol"", ""label"": ""MEDICATION"", ""start"": 48, ""end"": 59}]"""
"""Con tôi 25 tháng tuổi bị chóng mặt và đau đầu dữ dội""","""[{""text"": ""25 tháng tuổi"", ""label"": ""AGE"", ""start"": 8, ""end"": 21}, {""text"": ""chóng mặt"", ""label"": ""SYMPTOM"", ""start"": 25, ""end"": 34}, {""text"": ""chóng mặt"", ""label"": ""SYMPTOM"", ""start"": 25, ""end"": 34}, {""text"": ""đau đầu dữ dội"", ""label"": ""SYMPTOM"", ""start"": 38, ""end"": 52}, {""text"": ""đau đầu dữ dội"", ""label"": ""SYMPTOM"", ""start"": 38, ""end"": 52}]"""
"""Cô ấy bị sốt cao với furosemide và kháng sinh""","""[{""text"": ""sốt cao"", ""label"": ""SYMPTOM"", ""start"": 9, ""end"": 16}, {""text"": ""furosemide"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 31}, {""text"": ""furosemide"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 31}, {""text"": ""kháng sinh"", ""label"": ""MEDICATION"", ""start"": 35, ""end"": 45}, {""text"": ""kháng sinh"", ""label"": ""MEDICATION"", ""start"": 35, ""end"": 45}]"""
"""Bệnh nhân 12 tháng tuổi bị bệnh tim bẩm sinh cần dùng simvastatin""","""[{""text"": ""12 tháng tuổi"", ""label"": ""AGE"", ""start"": 10, ""end"": 23}, {""text"": ""bệnh tim bẩm sinh"", ""label"": ""DISEASE"", ""start"": 27, ""end"": 44}, {""text"": ""simvastatin"", ""label"": ""MEDICATION"", ""start"": 54, ""end"": 65}]"""
"""Thuốc atorvastatin 3 viên liên tục lúc sáng sớm""","""[{""text"": ""atorvastatin"", ""label"": ""MEDICATION"", ""start"": 6, ""end"": 18}, {""text"": ""3 viên"", ""label"": ""DOSAGE"", ""start"": 19, ""end"": 25}, {""text"": ""liên tục"", ""label"": ""FREQUENCY"", ""start"": 26, ""end"": 34}, {""text"": ""lúc sáng sớm"", ""label"": ""TIMING"", ""start"": 35, ""end"": 47}]"""
"""Bà ngoại 80 năm tuổi bị choáng váng ở gan""","""[{""text"": ""80 năm tuổi"", ""label"": ""AGE"", ""start"": 9, ""end"": 20}, {""text"": ""choáng váng"", ""label"": ""SYMPTOM"", ""start"": 24, ""end"": 35}, {""text"": ""gan"", ""label"": ""BODY_PART"", ""start"": 38, ""end"": 41}]"""
"""Cô ấy bị nôn mửa với penicillin và azithromycin""","""[{""text"": ""nôn mửa"", ""label"": ""SYMPTOM"", ""start"": 9, ""end"": 16}, {""text"": ""penicillin"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 31}, {""text"": ""penicillin"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 31}, {""text"": ""azithromycin"", ""label"": ""MEDICATION"", ""start"": 35, ""end"": 47}, {""text"": ""azithromycin"", ""label"": ""MEDICATION"", ""start"": 35, ""end"": 47}]"""
"""Sử dụng omeprazole 1mg khi đói""","""[{""text"": ""omeprazole"", ""label"": ""MEDICATION"", ""start"": 8, ""end"": 18}, {""text"": ""1mg"", ""label"": ""DOSAGE"", ""start"": 19, ""end"": 22}, {""text"": ""khi đói"", ""label"": ""TIMING"", ""start"": 23, ""end"": 30}]"""
"""Bị run tay từ 2 ngày""","""[{""text"": ""run tay"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 10}, {""text"": ""2 ngày"", ""label"": ""DURATION"", ""start"": 14, ""end"": 20}]"""
"""Ông ấy 30 năm tuổi bị tăng huyết áp cần khẩn cấp""","""[{""text"": ""30 năm tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 18}, {""text"": ""tăng huyết áp"", ""label"": ""DISEASE"", ""start"": 22, ""end"": 35}, {""text"": ""khẩn cấp"", ""label"": ""URGENCY"", ""start"": 40, ""end"": 48}]"""
"""Bệnh nhân 35 tuổi bị loãng xương cần dùng lisinopril""","""[{""text"": ""35 tuổi"", ""label"": ""AGE"", ""start"": 10, ""end"": 17}, {""text"": ""loãng xương"", ""label"": ""DISEASE"", ""start"": 21, ""end"": 32}, {""text"": ""lisinopril"", ""label"": ""MEDICATION"", ""start"": 42, ""end"": 52}]"""
"""Bà ngoại 6 tuổi bị đau bụng ở gan""","""[{""text"": ""6 tuổi"", ""label"": ""AGE"", ""start"": 9, ""end"": 15}, {""text"": ""đau bụng"", ""label"": ""SYMPTOM"", ""start"": 19, ""end"": 27}, {""text"": ""gan"", ""label"": ""BODY_PART"", ""start"": 30, ""end"": 33}]"""
"""Bệnh nhân 6 tháng tuổi bị tiểu đường cần dùng ibuprofen""","""[{""text"": ""6 tháng tuổi"", ""label"": ""AGE"", ""start"": 10, ""end"": 22}, {""text"": ""tiểu đường"", ""label"": ""DISEASE"", ""start"": 26, ""end"": 36}, {""text"": ""ibuprofen"", ""label"": ""MEDICATION"", ""start"": 46, ""end"": 55}]"""
"""Bị khàn tiếng ở bụng từ 5 ngày""","""[{""text"": ""khàn tiếng"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 13}, {""text"": ""bụng"", ""label"": ""BODY_PART"", ""start"": 16, ""end"": 20}, {""text"": ""5 ngày"", ""label"": ""DURATION"", ""start"": 24, ""end"": 30}]"""
"""Dùng ibuprofen 3 viên khi cần thiết""","""[{""text"": ""ibuprofen"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 14}, {""text"": ""3 viên"", ""label"": ""DOSAGE"", ""start"": 15, ""end"": 21}, {""text"": ""khi cần thiết"", ""label"": ""FREQUENCY"", ""start"": 22, ""end"": 35}]"""
"""Cô ấy bị nôn trớ với cetirizine và aspirin""","""[{""text"": ""nôn trớ"", ""label"": ""SYMPTOM"", ""start"": 9, ""end"": 16}, {""text"": ""cetirizine"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 31}, {""text"": ""cetirizine"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 31}, {""text"": ""aspirin"", ""label"": ""MEDICATION"", ""start"": 35, ""end"": 42}, {""text"": ""aspirin"", ""label"": ""MEDICATION"", ""start"": 35, ""end"": 42}]"""
"""Uống atorvastatin 5mg để chống viêm""","""[{""text"": ""atorvastatin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 17}, {""text"": ""5mg"", ""label"": ""DOSAGE"", ""start"": 18, ""end"": 21}, {""text"": ""chống viêm"", ""label"": ""INDICATION"", ""start"": 25, ""end"": 35}]"""
"""Ông ấy 2 tháng tuổi bị trầm cảm""","""[{""text"": ""2 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 19}, {""text"": ""trầm cảm"", ""label"": ""DISEASE"", ""start"": 23, ""end"": 31}]"""
"""Ông ấy 55 tháng tuổi bị viêm họng""","""[{""text"": ""55 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 20}, {""text"": ""viêm họng"", ""label"": ""DISEASE"", ""start"": 24, ""end"": 33}]"""
"""Ông ấy 6 tháng tuổi bị bệnh parkinson cần cần điều trị ngay""","""[{""text"": ""6 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 19}, {""text"": ""bệnh parkinson"", ""label"": ""DISEASE"", ""start"": 23, ""end"": 37}, {""text"": ""cần điều trị ngay"", ""label"": ""URGENCY"", ""start"": 42, ""end"": 59}]"""
"""Cô ấy bị khó thở với aspirin và paracetamol""","""[{""text"": ""khó thở"", ""label"": ""SYMPTOM"", ""start"": 9, ""end"": 16}, {""text"": ""aspirin"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 28}, {""text"": ""aspirin"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 28}, {""text"": ""paracetamol"", ""label"": ""MEDICATION"", ""start"": 32, ""end"": 43}, {""text"": ""paracetamol"", ""label"": ""MEDICATION"", ""start"": 32, ""end"": 43}]"""
"""Cô ấy 5 tháng tuổi bị tiểu đường nặng""","""[{""text"": ""5 tháng tuổi"", ""label"": ""AGE"", ""start"": 6, ""end"": 18}, {""text"": ""tiểu đường"", ""label"": ""DISEASE"", ""start"": 22, ""end"": 32}, {""text"": ""nặng"", ""label"": ""SEVERITY"", ""start"": 33, ""end"": 37}]"""
"""Chị ấy 8 năm tuổi có thai 6 tháng bị đau ngực""","""[{""text"": ""8 năm tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 17}, {""text"": ""có thai 6 tháng"", ""label"": ""CONDITION"", ""start"": 18, ""end"": 33}, {""text"": ""đau ngực"", ""label"": ""SYMPTOM"", ""start"": 37, ""end"": 45}]"""
"""Uống atorvastatin 400mg để chống nôn""","""[{""text"": ""atorvastatin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 17}, {""text"": ""400mg"", ""label"": ""DOSAGE"", ""start"": 18, ""end"": 23}, {""text"": ""chống nôn"", ""label"": ""INDICATION"", ""start"": 27, ""end"": 36}]"""
"""Uống thuốc hạ áp 250mg để an thần""","""[{""text"": ""thuốc hạ áp"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 16}, {""text"": ""250mg"", ""label"": ""DOSAGE"", ""start"": 17, ""end"": 22}, {""text"": ""an thần"", ""label"": ""INDICATION"", ""start"": 26, ""end"": 33}]"""
"""Dùng atorvastatin 1 gói mỗi sáng""","""[{""text"": ""atorvastatin"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 17}, {""text"": ""1 gói"", ""label"": ""DOSAGE"", ""start"": 18, ""end"": 23}, {""text"": ""mỗi sáng"", ""label"": ""FREQUENCY"", ""start"": 24, ""end"": 32}]"""
"""Ông ấy 75 tuổi bị suy tim""","""[{""text"": ""75 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""suy tim"", ""label"": ""DISEASE"", ""start"": 18, ""end"": 25}]"""
"""Ông ấy 60 tháng tuổi bị viêm dạ dày""","""[{""text"": ""60 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 20}, {""text"": ""viêm dạ dày"", ""label"": ""DISEASE"", ""start"": 24, ""end"": 35}]"""
"""Bị đau ngực từ từ hôm qua""","""[{""text"": ""đau ngực"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 11}, {""text"": ""từ hôm qua"", ""label"": ""DURATION"", ""start"": 15, ""end"": 25}]"""
"""Tôi 70 tuổi bị ho có đờm""","""[{""text"": ""70 tuổi"", ""label"": ""AGE"", ""start"": 4, ""end"": 11}, {""text"": ""ho có đờm"", ""label"": ""SYMPTOM"", ""start"": 15, ""end"": 24}]"""
"""Bị stress từ 1 tuần""","""[{""text"": ""stress"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 9}, {""text"": ""1 tuần"", ""label"": ""DURATION"", ""start"": 13, ""end"": 19}]"""
"""Sử dụng ibuprofen 1 gói trước bữa ăn""","""[{""text"": ""ibuprofen"", ""label"": ""MEDICATION"", ""start"": 8, ""end"": 17}, {""text"": ""1 gói"", ""label"": ""DOSAGE"", ""start"": 18, ""end"": 23}, {""text"": ""trước bữa ăn"", ""label"": ""TIMING"", ""start"": 24, ""end"": 36}]"""
"""Con tôi 8 tuổi bị đau đầu và phù chân""","""[{""text"": ""8 tuổi"", ""label"": ""AGE"", ""start"": 8, ""end"": 14}, {""text"": ""đau đầu"", ""label"": ""SYMPTOM"", ""start"": 18, ""end"": 25}, {""text"": ""đau đầu"", ""label"": ""SYMPTOM"", ""start"": 18, ""end"": 25}, {""text"": ""phù chân"", ""label"": ""SYMPTOM"", ""start"": 29, ""end"": 37}, {""text"": ""phù chân"", ""label"": ""SYMPTOM"", ""start"": 29, ""end"": 37}]"""
"""Trẻ em 15 năm tuổi bị dị ứng 39 độ C cần dị ứng""","""[{""text"": ""15 năm tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 18}, {""text"": ""dị ứng"", ""label"": ""SYMPTOM"", ""start"": 22, ""end"": 28}, {""text"": ""dị ứng"", ""label"": ""INDICATION"", ""start"": 22, ""end"": 28}, {""text"": ""39 độ C"", ""label"": ""MEASUREMENT"", ""start"": 29, ""end"": 36}]"""
"""Ông ấy 8 tháng tuổi bị alzheimer cần cấp cứu""","""[{""text"": ""8 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 19}, {""text"": ""alzheimer"", ""label"": ""DISEASE"", ""start"": 23, ""end"": 32}, {""text"": ""cấp cứu"", ""label"": ""URGENCY"", ""start"": 37, ""end"": 44}]"""
"""Bị mất ngủ từ từ sáng đến giờ""","""[{""text"": ""mất ngủ"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 10}, {""text"": ""từ sáng đến giờ"", ""label"": ""DURATION"", ""start"": 14, ""end"": 29}]"""
"""Ông ấy 65 tháng tuổi bị viêm họng cần khẩn cấp""","""[{""text"": ""65 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 20}, {""text"": ""viêm họng"", ""label"": ""DISEASE"", ""start"": 24, ""end"": 33}, {""text"": ""khẩn cấp"", ""label"": ""URGENCY"", ""start"": 38, ""end"": 46}]"""
"""Thuốc insulin 50mg ba lần một ngày khi đói""","""[{""text"": ""insulin"", ""label"": ""MEDICATION"", ""start"": 6, ""end"": 13}, {""text"": ""50mg"", ""label"": ""DOSAGE"", ""start"": 14, ""end"": 18}, {""text"": ""ba lần một ngày"", ""label"": ""FREQUENCY"", ""start"": 19, ""end"": 34}, {""text"": ""khi đói"", ""label"": ""TIMING"", ""start"": 35, ""end"": 42}]"""
