text,intent,category,confidence
"""Có dấu hiệu đường huyết cao""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng mất ngủ tái phát""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy chóng mặt liên tục""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị run tay nặng""",symptom_inquiry,triệu_chứng,1.0
"""Bị đường huyết cao""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng sốt cao""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên khó ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị viêm da sau ăn""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này dị ứng""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị đau răng""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị rụng tóc thỉnh thoảng""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này ngứa lúc nghỉ ngơi""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị táo bón khi vận động""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị đau vai""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị tiêu chảy""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng táo bón""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị tiêu chảy""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị sốt cao""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua ngứa""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị sốt cao""",symptom_inquiry,triệu_chứng,1.0
"""Bị run tay cấp tính""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên đau lưng tái phát""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị run tay""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị tăng cân sau ăn""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên giảm cân""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị tê bì khi vận động""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị đau vai""",symptom_inquiry,triệu_chứng,1.0
"""Tháng này đau răng""",symptom_inquiry,triệu_chứng,1.0
"""Bị lo âu""",symptom_inquiry,triệu_chứng,1.0
"""Bị phù nề""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng rụng tóc sau ăn""",symptom_inquiry,triệu_chứng,1.0
"""Bị cholesterol cao""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu đau cơ sau ăn""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị run tay""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị đau bụng""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị nôn mửa cấp tính""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị khàn tiếng""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi sốt cao""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị đau đầu""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị khó ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng tiêu chảy""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua ho khan""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị stress""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị đau bụng""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay khó ngủ thỉnh thoảng""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này ngứa""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng cholesterol cao""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị run tay nặng""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị ho khan""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy ho khan""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị khó thở tái phát""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị phù nề""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị khó ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng đau răng""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị đau bụng nặng""",symptom_inquiry,triệu_chứng,1.0
"""Tháng này khó thở kéo dài""",symptom_inquiry,triệu_chứng,1.0
"""Bị stress kéo dài""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua dị ứng kéo dài""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị cholesterol cao""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu khó ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu dị ứng""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị buồn nôn""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng khó ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi phù nề""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu phù nề""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị chuột rút""",symptom_inquiry,triệu_chứng,1.0
"""Tháng này khó ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị sốt cao liên tục""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi tê bì""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị viêm da kéo dài""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị mệt mỏi""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi stress""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị sốt cao""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy đau cơ vừa phải""",symptom_inquiry,triệu_chứng,1.0
"""Tháng này huyết áp cao""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị tăng cân""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu mệt mỏi""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị run tay""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng run tay khi vận động""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua huyết áp cao mãn tính""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy khó ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay sốt cao""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên chóng mặt mãn tính""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên huyết áp cao sau ăn""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy ngứa""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này đau cơ cấp tính""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi chán ăn mãn tính""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi rụng tóc""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên mệt mỏi""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị cholesterol cao""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị buồn nôn tái phát""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này chán ăn đột ngột""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị huyết áp cao""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị rụng tóc""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy đau ngực""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị đau cơ""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay cholesterol cao""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng khó thở""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng tim đập nhanh""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy đường huyết cao cấp tính""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy khó ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu khàn tiếng""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu đau đầu""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy rụng tóc""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này cholesterol cao""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị tê bì""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng đau bụng""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị đau khớp thỉnh thoảng""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị ngứa""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua tăng cân""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi giảm cân""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị huyết áp cao từ sáng""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị giảm cân""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị dị ứng""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu chán ăn kéo dài""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị đau ngực đột ngột""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay chán ăn""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này đau lưng đột ngột""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị huyết áp cao""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị tăng cân""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị đau răng""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị viêm da vừa phải""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này run tay lúc nghỉ ngơi""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay tiêu chảy khi đói""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng ngứa""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị đau ngực""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay tê bì tái phát""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi nôn mửa""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị tê bì""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị tê bì sau ăn""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị đường huyết cao""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị rụng tóc""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này huyết áp cao lúc nghỉ ngơi""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu ngứa""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị nôn mửa liên tục""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị đau vai thỉnh thoảng""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị phù nề""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay tê bì từ sáng""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị khàn tiếng""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay giảm cân""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị đau khớp mãn tính""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay đau ngực""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị rụng tóc""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay chuột rút cấp tính""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng đau khớp khi vận động""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy chán ăn kéo dài""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng đau ngực""",symptom_inquiry,triệu_chứng,1.0
"""Tháng này buồn nôn""",symptom_inquiry,triệu_chứng,1.0
"""Bị huyết áp cao cấp tính""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy đau vai""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị viêm họng""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi rụng tóc""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng phù nề lúc nghỉ ngơi""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên táo bón từ sáng""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi giảm cân""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng run tay""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị choáng váng""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này choáng váng lúc nghỉ ngơi""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị buồn nôn""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị chuột rút đột ngột""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị đau lưng""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị rụng tóc đột ngột""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị đau khớp""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị khàn tiếng sau ăn""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua đau lưng""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu stress""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị tiêu chảy""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay giảm cân tái phát""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị đau đầu lúc nghỉ ngơi""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị táo bón""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên stress""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị buồn nôn""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay rụng tóc""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị choáng váng""",symptom_inquiry,triệu_chứng,1.0
"""Tháng này đường huyết cao tái phát""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua huyết áp cao""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên đau răng""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị đau vai""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị táo bón""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị đau ngực tái phát""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị buồn nôn""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị đau vai""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị táo bón""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua mất ngủ lúc nghỉ ngơi""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu tăng cân đột ngột""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị rụng tóc khi đói""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu khàn tiếng""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên táo bón nhẹ""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này viêm da""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị tê bì""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị mệt mỏi""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị đau ngực cấp tính""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị tê bì""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay cholesterol cao""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi khàn tiếng""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay dị ứng""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này khó thở""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị run tay nặng""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị dị ứng""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị huyết áp cao""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị run tay nhẹ""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị ngứa""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị táo bón""",symptom_inquiry,triệu_chứng,1.0
"""Bị run tay""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi đau lưng nhẹ""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị lo âu cấp tính""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị đau khớp""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị tăng cân""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị đau vai kéo dài""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Bị choáng váng tái phát""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị chán ăn khi đói""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị đau bụng""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị run tay""",symptom_inquiry,triệu_chứng,1.0
"""Tháng này cholesterol cao""",symptom_inquiry,triệu_chứng,1.0
"""Bị rụng tóc từ sáng""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị mệt mỏi""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị đau bụng""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị đau khớp lúc nghỉ ngơi""",symptom_inquiry,triệu_chứng,1.0
"""Bị chuột rút""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị đường huyết cao""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị run tay""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu đau đầu cấp tính""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi nôn mửa""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị táo bón""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị khó thở""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi đau bụng""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị đau cơ""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị choáng váng""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị tê bì""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng run tay mãn tính""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị đau bụng""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị lo âu""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị rụng tóc""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị tim đập nhanh""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị chóng mặt""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị mệt mỏi""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu ngứa tái phát""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này đau đầu đột ngột""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị choáng váng""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị phù nề lúc nghỉ ngơi""",symptom_inquiry,triệu_chứng,1.0
"""Bị khó thở""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua chuột rút""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua đau ngực nhẹ""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị stress""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị ho khan""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị tăng cân thỉnh thoảng""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị khàn tiếng""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay huyết áp cao""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu choáng váng""",symptom_inquiry,triệu_chứng,1.0
"""Bị ho khan""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị nôn mửa""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này viêm da""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị đau răng""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua dị ứng""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua đau cơ""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị khàn tiếng""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị đau đầu nhẹ""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị stress liên tục""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị nôn mửa nhẹ""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu chuột rút""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị khó thở sau ăn""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua đau cơ""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu viêm họng""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng tiêu chảy""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu ho khan""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị đau đầu nặng""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu đau cơ thỉnh thoảng""",symptom_inquiry,triệu_chứng,1.0
"""Bị phù nề""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị viêm da""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị tê bì kéo dài""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua tê bì""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị đau bụng""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị tê bì vừa phải""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua viêm da""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị chán ăn""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên giảm cân""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi đau khớp""",symptom_inquiry,triệu_chứng,1.0
"""Cháu bị stress""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị ngứa""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị phù nề""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu ngứa""",symptom_inquiry,triệu_chứng,1.0
"""Bị đau khớp""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị mệt mỏi""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu viêm da""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị lo âu""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị choáng váng vừa phải""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu đau cơ""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị khàn tiếng""",symptom_inquiry,triệu_chứng,1.0
"""Anh ấy bị tăng cân""",symptom_inquiry,triệu_chứng,1.0
